date,price
22.08.17,8963.830078
23.08.17,8958.490234
24.08.17,8943.040039
25.08.17,8906.179688
28.08.17,8864.230469
29.08.17,8814.540039
30.08.17,8851.259766
31.08.17,8925.450195
01.09.17,8941.620117
04.09.17,8864.459961
05.09.17,8869.55957
06.09.17,8859.469727
07.09.17,8906.660156
08.09.17,8912.049805
11.09.17,8982.230469
12.09.17,9053.620117
13.09.17,9053.830078
14.09.17,9071.429688
15.09.17,9028.049805
18.09.17,9048.110352
19.09.17,9093.200195
20.09.17,9095.650391
21.09.17,9134.129883
22.09.17,9136.719727
25.09.17,9140.469727
26.09.17,9113.650391
27.09.17,9098.580078
28.09.17,9112.160156
29.09.17,9157.459961
02.10.17,9242.150391
03.10.17,9283.740234
04.10.17,9283.969727
05.10.17,9262.660156
06.10.17,9252.120117
09.10.17,9259.339844
10.10.17,9267.169922
11.10.17,9265.339844
12.10.17,9297.339844
13.10.17,9311.69043
16.10.17,9274.589844
17.10.17,9269.860352
18.10.17,9309.610352
19.10.17,9233.519531
20.10.17,9237.129883
23.10.17,9248.490234
24.10.17,9194.839844
25.10.17,9084.040039
26.10.17,9200.080078
27.10.17,9183.419922
30.10.17,9175.5
31.10.17,9242.179688
01.11.17,9267.820313
02.11.17,9279.650391
03.11.17,9322.049805
06.11.17,9288.780273
07.11.17,9220.160156
08.11.17,9265.830078
09.11.17,9177.820313
10.11.17,9134.160156
13.11.17,9162.740234
14.11.17,9130.480469
15.11.17,9089.549805
16.11.17,9146.820313
17.11.17,9183.610352
20.11.17,9299.610352
21.11.17,9324.530273
22.11.17,9291.839844
23.11.17,9315.55957
24.11.17,9325.599609
27.11.17,9264.389648
28.11.17,9320.44043
29.11.17,9304.419922
30.11.17,9318.769531
01.12.17,9274.549805
04.12.17,9328.629883
05.12.17,9288.919922
06.12.17,9309.990234
07.12.17,9270.570313
08.12.17,9319.160156
11.12.17,9314.759766
12.12.17,9361.410156
13.12.17,9394.549805
14.12.17,9383.019531
15.12.17,9394.709961
18.12.17,9452.320313
19.12.17,9399.169922
20.12.17,9314.830078
21.12.17,9424.669922
22.12.17,9394.490234
27.12.17,9430.44043
28.12.17,9405.799805
29.12.17,9381.870117
03.01.18,9478.919922
04.01.18,9509.280273
05.01.18,9556.980469
08.01.18,9541.730469
09.01.18,9611.610352
10.01.18,9524.959961
11.01.18,9503.849609
12.01.18,9546.610352
15.01.18,9537.280273
16.01.18,9464.049805
17.01.18,9440.009766
18.01.18,9452.349609
19.01.18,9509.769531
22.01.18,9529.129883
23.01.18,9551.580078
24.01.18,9547.570313
25.01.18,9482.959961
26.01.18,9515.55957
